run_date,row_index,pot_id,pot_number,source_asset_id,photo_url,image_path,matched_variant_count,ensemble_numbers_detected,task,full_crop_path,center_crop_path,label_crop_path
2026-02-28,83,25T,25,AF1QipNEys5hf77ERQncizSI1R9M_ZCVJsXn3XcxnI5w,https://lh3.googleusercontent.com/pw/AP1GczNSqsV45a118Y647Dj9MbcEXECSMG2ls727PO1A6Le_8K27Q8C41zVGoFOzJR9TRmW0jPtp7T2VKNW9RpOwKeXbAu46S7cV5Lah-CvSYl7eyOK1p0s2,local/non_tomato_species/images/83_AF1QipNEys5hf77ERQncizSI1R9M_ZCVJsXn3XcxnI5w.jpg,0,"1,2,4,5,6,7,20,22,32",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_25T_83_AF1QipNE_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_25T_83_AF1QipNE_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_25T_83_AF1QipNE_label.jpg
2026-02-28,84,26T,26,AF1QipPsUfaWpyRhZsQFdVQ32Jbeb6r_i36h3t5W9puI,https://lh3.googleusercontent.com/pw/AP1GczP0h16ffv5BEOkFv8vZx-4l1-NMVUjhiTajvRPq8oSwev0BQ_DsOx5OIeXP_Fq0ObLeLKgDg6VU7sBCTibTXTjuR4jZGkZhbul4Vw5xyGg5Wxqm1WPr,local/non_tomato_species/images/84_AF1QipPsUfaWpyRhZsQFdVQ32Jbeb6r_i36h3t5W9puI.jpg,0,"1,2,3,4,5,6,7,9,23,25",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_26T_84_AF1QipPs_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_26T_84_AF1QipPs_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_26T_84_AF1QipPs_label.jpg
2026-02-28,85,27T,27,AF1QipOw7mapHrBy7hUZcbIdhXEvbJVXPYN-MnVWdoUK,https://lh3.googleusercontent.com/pw/AP1GczM_qJeWKg78eRjRwK3uVWXGklFx7UgliloE0vhuKECODgogg0fUP0IUPzHWa1bvY-phe3APs4NgtZhj59De1T7IGKB2or3QOsc6fYmXjd4lFsiCka-K,local/non_tomato_species/images/85_AF1QipOw7mapHrBy7hUZcbIdhXEvbJVXPYN-MnVWdoUK.jpg,0,"2,3,4,6,7",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_27T_85_AF1QipOw_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_27T_85_AF1QipOw_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_27T_85_AF1QipOw_label.jpg
2026-02-28,86,28T,28,AF1QipPLhP4hNgXDaAMwkaJjzkJSlPBrlSP1h-oCyihI,https://lh3.googleusercontent.com/pw/AP1GczMrDIqBovSkm-iWqAQNGw3U2KtSdSSxSXzdN0dBVWBsqUZPHVIpYeigDlnECBJhs-ieNr29l41qP-644tsM5NSBBSrWgRKDJA5kOiDACLxig2mYiZ4X,local/non_tomato_species/images/86_AF1QipPLhP4hNgXDaAMwkaJjzkJSlPBrlSP1h-oCyihI.jpg,0,"2,3,4,5,6,7,8",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_28T_86_AF1QipPL_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_28T_86_AF1QipPL_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_28T_86_AF1QipPL_label.jpg
2026-02-28,87,29T,29,AF1QipN8lN2IVLqK4sAOJ_vFHm3AXHh9n7uFHwwWGyBK,https://lh3.googleusercontent.com/pw/AP1GczPPdNAivl663cp9Aw-MLY3depUt-CHimLYMj0XMbcjQ-zoFEbChj-l2eagCTniFO1gzzDHLkZt28AF1Dz9dqvVzzeKeR9DS7IUvMD0vk55qKIWScohM,local/non_tomato_species/images/87_AF1QipN8lN2IVLqK4sAOJ_vFHm3AXHh9n7uFHwwWGyBK.jpg,0,"2,4,5",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_29T_87_AF1QipN8_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_29T_87_AF1QipN8_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_29T_87_AF1QipN8_label.jpg
2026-02-28,88,30T,30,AF1QipMA1KNHY-BkzEndCV8bbb6VSo3d5vNcieos4-_i,https://lh3.googleusercontent.com/pw/AP1GczPYLYM_aOAORBDlH-8sqkJRhGN6adEn-D6DX3F8xanMRv1S6U-8NLW7izdhef7HXds8Ljpzwmd4f8bCDi0yDqAHlWjhbhg6wvbL-ne3jpfxstYPVbPZ,local/non_tomato_species/images/88_AF1QipMA1KNHY-BkzEndCV8bbb6VSo3d5vNcieos4-_i.jpg,0,"2,4,5,7,8",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_30T_88_AF1QipMA_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_30T_88_AF1QipMA_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_30T_88_AF1QipMA_label.jpg
2026-02-28,89,31T,31,AF1QipMy07ShH1PZZKTwlfyeihWHhK1NMzrXYVSMKX9H,https://lh3.googleusercontent.com/pw/AP1GczMCoMNb9hGT2Mw4NOWL4hT8mt-1KdwngjpkCFkvdT8u1eqcPAGhGZO159x7TmMhn0k2IHTIs5XpeNfve2HIotF6nLiG2PhlNgvnVzT7YZDgyXa0ljgs,local/non_tomato_species/images/89_AF1QipMy07ShH1PZZKTwlfyeihWHhK1NMzrXYVSMKX9H.jpg,0,"2,3,4,7,10,23",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_31T_89_AF1QipMy_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_31T_89_AF1QipMy_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_31T_89_AF1QipMy_label.jpg
2026-02-28,90,32T,32,AF1QipOiBi50K5TwISV3rtRgP2GIQC4IT7UbtiGN28Ps,https://lh3.googleusercontent.com/pw/AP1GczPnTIVnXVGhXw39HA6leGCPQDYZHwp7cnPASWhv_wTSlK3c9JSoE0i7YwPLfxFYEaW9IrVwg5IRKQ3pg-UqYLEzNvv3uOZZZNiQW2oqlHVSZRpm1xJ3,local/non_tomato_species/images/90_AF1QipOiBi50K5TwISV3rtRgP2GIQC4IT7UbtiGN28Ps.jpg,0,"2,4,6",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_32T_90_AF1QipOi_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_32T_90_AF1QipOi_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-02-28_32T_90_AF1QipOi_label.jpg
2026-03-01,94,3T,3,AF1QipONKQXPCi8_IMuBZYIiNLRXP-o8Gm7HXKwK_kb8,https://lh3.googleusercontent.com/pw/AP1GczOjxb3VTYDP4apb8qaPNHif6bNia1CApVumcC_nFSwI4AaiF7m6Nn2NsEZ4EJsWwYQV2NoueJNTZx6mB9XhxPo4wnX1Rf8Ijm2xelUZOcrUWqmVwiBi,local/non_tomato_species/images/94_AF1QipONKQXPCi8_IMuBZYIiNLRXP-o8Gm7HXKwK_kb8.jpg,0,"1,2,4,5,7,13",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_3T_94_AF1QipON_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_3T_94_AF1QipON_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_3T_94_AF1QipON_label.jpg
2026-03-01,96,5T,5,AF1QipN5UGDUBJE_TdMqBxwaVvmSpxhobGE5Jpp5IE9M,https://lh3.googleusercontent.com/pw/AP1GczN-QrU86g_vGhvYt_AcK9ymDlO731h82WXc9_EquF9I5Ni-5s5olT88XoQSyHZb7QqMuveSPB5KloXjsZmwrxWREwSulLqA0nCOg1GI-s9KxqpRpfVY,local/non_tomato_species/images/96_AF1QipN5UGDUBJE_TdMqBxwaVvmSpxhobGE5Jpp5IE9M.jpg,0,"4,7,24,25",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_5T_96_AF1QipN5_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_5T_96_AF1QipN5_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_5T_96_AF1QipN5_label.jpg
2026-03-01,97,6T,6,AF1QipMF9sn-jl1cee6mjqNHlog2czXKVlISGoQ3Ubpd,https://lh3.googleusercontent.com/pw/AP1GczNZ4eLtsGM2w1T9vYzfNGbpl-dx3_LrqYbWbx4qEr3LnIvavgNs_xSNMkrk8jIC8Wri_Fl6JrrJ7zeVxOp2LXuU5wPYzmsPPbO0EHR9zv2Y69zerHVT,local/non_tomato_species/images/97_AF1QipMF9sn-jl1cee6mjqNHlog2czXKVlISGoQ3Ubpd.jpg,0,"4,7,20,32",human_label_pot_number_and_variety,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_6T_97_AF1QipMF_full.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_6T_97_AF1QipMF_center.jpg,data/research/v1_6/ocr_recovery/manual_label_queue/2026-03-01_6T_97_AF1QipMF_label.jpg
