row_index,capture_date,source_asset_id,photo_url,current_classification_label,predicted_classification_label,predicted_species_common_name,predicted_variety_name,predicted_species_scientific_name,tomato_similarity,non_tomato_similarity,margin,confidence_tier,recommended_action,nearest_tomato_asset_id,nearest_non_tomato_asset_id,image_path
177,2026-03-02,AF1QipMQDvxdK7IP8ClbqPAhR8VyPY-sJ7y3hHu4Pr-4,https://lh3.googleusercontent.com/pw/AP1GczNY9JgFJVJKc8zh_SBbXtELQt1dh6w5iQgi2dyxlEYjVt0l0OZM3oalK3n_yKgi8Sl3scQ7oCOoHSkKv1XN2brdptFNFHa88Zdt2sBWlNEnbVwaWkt5,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.610242,0.709547,0.099306,high,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/177_AF1QipMQDvxdK7IP8ClbqPAhR8VyPY-sJ7y3hHu4Pr-4.jpg
159,2026-03-02,AF1QipPQJvrHZ72Aa3eKsRkZ_qI2_zIr2oo-8ZDUlD7l,https://lh3.googleusercontent.com/pw/AP1GczMUM8dTIewgd6tt6SUs_lic6W6hEogyfMtoULKtOh_sS56m4Oak9pIJxPXa1ZxjU-r28LU2u3PXva93TQrtl9re3AdU6f6Rh_gN3ZhHd8up4g2RVkoe,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.541434,0.635475,0.094041,high,apply_seed_override,AF1QipOyJ1f5YmuDH5yEFsgS-jiPJZezlWGcMT5fMGtw,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/159_AF1QipPQJvrHZ72Aa3eKsRkZ_qI2_zIr2oo-8ZDUlD7l.jpg
182,2026-03-02,AF1QipOkb-F1GDSiZaS-cefbOXH_FS8izZJHWY8qU8a9,https://lh3.googleusercontent.com/pw/AP1GczMniP4Ck6BpamS_PJNTLqigJJN0CppHQdo7UOpra9B9Fl2F5OaAtGrXx1smhEul1JgCbM9cJ6TfyzRwAfrxMWKSa9lkFP5krQzPEMrEAemSXy2wxc35,unknown,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,0.69549,0.787992,0.092503,high,apply_seed_override,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,AF1QipOFj7AJ4wBEzoSghT-FmoK39t8yyzYEN5BeNu8N,local/non_tomato_species/images/182_AF1QipOkb-F1GDSiZaS-cefbOXH_FS8izZJHWY8qU8a9.jpg
176,2026-03-02,AF1QipPkXKpfW8C-Df9ZD2jf69tKllu0mrkqm8nfX8Wo,https://lh3.googleusercontent.com/pw/AP1GczPA5E6CXaJ7Rj-RUxPkFyVuuvaymDP88KTWWvXG_7oHSCeotzZgZdAwsqyMkg0Y4oe69hthurQQJX-8ydapxMbSmEDK2rfC-pJVSFqVgudBmTw0oOYP,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.717011,0.807273,0.090262,high,apply_seed_override,AF1QipOKLGjadxmA3cB21dGUO7lBOdTQURwF1BvGZdiR,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/176_AF1QipPkXKpfW8C-Df9ZD2jf69tKllu0mrkqm8nfX8Wo.jpg
133,2026-03-02,AF1QipNrnV7_ou-gBKSqPBeZCNlWCjSWQoO3EAiDaktn,https://lh3.googleusercontent.com/pw/AP1GczM5MhZbT0C9LDTh9cwe6EvrWdIzvDyzHONtYqpVWAEAz4MyZGYsp_vUHHf5qx5SmncacFFuqUiwf1P_tlnPaxLp19aDueH2cs6co9IehXuNBRGcee1R,unknown,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,0.582637,0.672078,0.089441,high,apply_seed_override,AF1QipOyJ1f5YmuDH5yEFsgS-jiPJZezlWGcMT5fMGtw,AF1QipOFj7AJ4wBEzoSghT-FmoK39t8yyzYEN5BeNu8N,local/non_tomato_species/images/133_AF1QipNrnV7_ou-gBKSqPBeZCNlWCjSWQoO3EAiDaktn.jpg
167,2026-03-02,AF1QipO5q3GdpwwVY8wmrCAL8ues_H4adxKg65XR_mtS,https://lh3.googleusercontent.com/pw/AP1GczOTOlhDOW_8sdvXZP_kheE_AlfRTYmTJMwEwq9vtIyNYPE3OVScCA3vsiG44SUs7Kx33uTxw7kncV-FEppQBkZwBr1Gu6BPrXlX_RyoNVN7CpcGgUZw,unknown,tomato,Tomato,,Solanum lycopersicum,0.704143,0.624221,0.079922,medium,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS,local/non_tomato_species/images/167_AF1QipO5q3GdpwwVY8wmrCAL8ues_H4adxKg65XR_mtS.jpg
191,2026-03-02,AF1QipMidJYX9xyasGhCNIucTRhkygzjVjjeb93ucc35,https://lh3.googleusercontent.com/pw/AP1GczP7UWhi4pRyNbLOBNlEUwl8_19S_TXdr5EaXGrcTba_ChMSyj_26P_FgxvwGmNn1M8-YmosV8gUphcVIr94dWdtNjggUmjY66XEc1F2XmMva4ph_hll,unknown,non_tomato,Pea,Pea,Pisum sativum,0.609124,0.688792,0.079668,medium,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipPy0PJSqnwpfWm_W4pspUcOt_QTWuAzcKvpBi_4,local/non_tomato_species/images/191_AF1QipMidJYX9xyasGhCNIucTRhkygzjVjjeb93ucc35.jpg
180,2026-03-02,AF1QipN8ZYwEXwvzLkjDKNm9DxEqT5yaJRQ4gh72CG6S,https://lh3.googleusercontent.com/pw/AP1GczNJLsb8BINqjpHk4ppgXTeFRds4ktJLB2qhrhoyxWJR1mGxq_jMenzmhuOEfbVZg941X5G4ONy55eZrYXhAYX63Q4YubjPrEFZgV-MTX_lDhG0ygIyj,unknown,tomato,Tomato,,Solanum lycopersicum,0.682095,0.602617,0.079478,medium,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/180_AF1QipN8ZYwEXwvzLkjDKNm9DxEqT5yaJRQ4gh72CG6S.jpg
135,2026-03-02,AF1QipMmcbkEvj6cQE_kCXNmfLRA0sdlDIgZoKhBX8ci,https://lh3.googleusercontent.com/pw/AP1GczOUwQu9J5Ryy0qAIhG-P1Fe33e4RoQDQihxgtqbvoh4TC3Kt9JeH_Q_JJi0ozXKvVIpI6HSeHfcCUVZW6omBkuZ4OX6uNXwCXhqsWOIAVY1lTIToqBy,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.637516,0.712311,0.074794,medium,apply_seed_override,AF1QipOyJ1f5YmuDH5yEFsgS-jiPJZezlWGcMT5fMGtw,AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc,local/non_tomato_species/images/135_AF1QipMmcbkEvj6cQE_kCXNmfLRA0sdlDIgZoKhBX8ci.jpg
157,2026-03-02,AF1QipOJh9HPnO_BUmCjgpFMnN3beATa0yj_nCQg6kvz,https://lh3.googleusercontent.com/pw/AP1GczPw2jcV1wRmqW1OAysb_F1fLvBI-DTiB5oizpeJ0ajIBi33iphjD4BjgXHJbK3L3yPj3gARh1fDfnBw1jnqvgXe8BfCGXioHzvcyxZR33-vVPbaLIjD,unknown,tomato,Tomato,,Solanum lycopersicum,0.522685,0.448733,0.073953,medium,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipPy0PJSqnwpfWm_W4pspUcOt_QTWuAzcKvpBi_4,local/non_tomato_species/images/157_AF1QipOJh9HPnO_BUmCjgpFMnN3beATa0yj_nCQg6kvz.jpg
134,2026-03-02,AF1QipM6iIoxDiNhaFkFxFQyvXeXdH-W1tfN4vOatqKu,https://lh3.googleusercontent.com/pw/AP1GczOAy5WPZpVJIQPzfR3nzWKAtiPmo-NWBFJcHqcEvP8EyH7o4HEEIJ10izNWWu2ND0VwdGG481wDh_EMS6cU5PaeCHZYcMKKgJk-ka_zZ9f0Pk7Q1HIn,unknown,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,0.451331,0.520199,0.068868,medium,apply_seed_override,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,AF1QipOFj7AJ4wBEzoSghT-FmoK39t8yyzYEN5BeNu8N,local/non_tomato_species/images/134_AF1QipM6iIoxDiNhaFkFxFQyvXeXdH-W1tfN4vOatqKu.jpg
150,2026-03-02,AF1QipM7ErDnZYljEJkB-ofkNUp8AAvkCSzr5NMfyvuK,https://lh3.googleusercontent.com/pw/AP1GczPpIS64D87ympg1KiOEa-ubnHCtj99wTUgnWpgvCIxTocsq9cW1s-zVHf0MZ1AOip3sDClEBMgZOuAJV84kbifFYIYDYFuwDt7Zu2zfXjdC6VM_iMc1,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.733718,0.799479,0.065761,medium,apply_seed_override,AF1QipNPL4nt2YpB_XIcQzYhO655wqvWMHRH-KHmtrYL,AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc,local/non_tomato_species/images/150_AF1QipM7ErDnZYljEJkB-ofkNUp8AAvkCSzr5NMfyvuK.jpg
141,2026-03-02,AF1QipOP1BtfTSynptfuFyFtDgSWrW23PnhK6TR8ye8y,https://lh3.googleusercontent.com/pw/AP1GczPdKxQ6CRsP-MecRkh_FaLFDAdfFKqRJ-LFWh-CJcYXT3CmZ15Hn7iwdJVb6-LwU8fIiyyFTnnC8rLr8UvzviDbgJ6QWijahTx_b3FYn0QqWitTUa_E,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.625959,0.691171,0.065213,medium,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/141_AF1QipOP1BtfTSynptfuFyFtDgSWrW23PnhK6TR8ye8y.jpg
179,2026-03-02,AF1QipN8-oTE3TTH1pc7oJ4_3fWORg64Vna2I-GJasMG,https://lh3.googleusercontent.com/pw/AP1GczO45nvLxXqdJLN_YnC1RBorcBYkgzoVPTmI7FHr4MaYdQ9qvLtJew1MYHdt4URMEJ_0KSTYf9zZ9VDlKNjbFvj25qOsBgGpMFGKHvvG8URAS5LWWP6Q,unknown,tomato,Tomato,,Solanum lycopersicum,0.758366,0.696766,0.061601,medium,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/179_AF1QipN8-oTE3TTH1pc7oJ4_3fWORg64Vna2I-GJasMG.jpg
142,2026-03-02,AF1QipMYxaaQ1a5DnR4bMJQ9FbbNbhvl941JmtnxmnGk,https://lh3.googleusercontent.com/pw/AP1GczPDDGBzwuhlvae9MV76pX-cnBA6KiWd2djixmS48FlaX0u8MaUnBnrz3KF2Dj3T6T9fAkSENAQp1OoUo6c0XiwN3uTHfPykuhcLws0hrVLqT2OKuepA,unknown,tomato,Tomato,,Solanum lycopersicum,0.68848,0.628097,0.060383,medium,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/142_AF1QipMYxaaQ1a5DnR4bMJQ9FbbNbhvl941JmtnxmnGk.jpg
160,2026-03-02,AF1QipOl16sqejknPt29KspylLvSwCJQ_WbXEbaSvXO1,https://lh3.googleusercontent.com/pw/AP1GczOUcSsYP3deXDqoImde-OPXRKDj8212awcQaC_VmlVLExK3XqMy4dHgzsSR2Sk9wFBWLp8Dg9NwPdIUPZjMipg0saIXU3X444JiYadfYW8TJnee8oUl,unknown,tomato,Tomato,,Solanum lycopersicum,0.610751,0.550606,0.060145,medium,apply_seed_override,AF1QipPAAscveydu_pS2BDKBY5GW6c2PcX28PTEVjWAg,AF1QipP3uLTxp7JBdSEI1arLdrVpzmVWxPsfUREzogQc,local/non_tomato_species/images/160_AF1QipOl16sqejknPt29KspylLvSwCJQ_WbXEbaSvXO1.jpg
136,2026-03-02,AF1QipMfX7LtX3EQc69IEisTmLvdCSH-x4rOK88WhIdu,https://lh3.googleusercontent.com/pw/AP1GczOZOGIcP29a-uSmwGy4N2PpWA6xx_cEnmt3S1YhEKJzh2UuejXPnQd9qoNW3xXph0zXE5fYBDAf20mHgXivv4VkUuN8OLhgfcXugB6x1VkRCwPvjkr0,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.591056,0.649907,0.058851,medium,apply_seed_override,AF1QipOyJ1f5YmuDH5yEFsgS-jiPJZezlWGcMT5fMGtw,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/136_AF1QipMfX7LtX3EQc69IEisTmLvdCSH-x4rOK88WhIdu.jpg
169,2026-03-02,AF1QipMc9rZXyISCZElycuKZ_cr7Ex4KOucT_34JQOEC,https://lh3.googleusercontent.com/pw/AP1GczMFbxniYvZEA9R9VYVO_W-ZUi9G7Bh9FdA-HR6dUOQTU_eJSKcsmTmRWMdU-xj2j0Y_5MrYVIIoFLfL18OGMLR5shm_Dfw3aPv_PAieZlpZreQpcC0f,unknown,tomato,Tomato,,Solanum lycopersicum,0.726466,0.675835,0.050631,medium,apply_seed_override,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/169_AF1QipMc9rZXyISCZElycuKZ_cr7Ex4KOucT_34JQOEC.jpg
178,2026-03-02,AF1QipOug35qsUr1vxkksitCkFPczGJmnvvdYl1tp5jb,https://lh3.googleusercontent.com/pw/AP1GczMc3uY3bN45kIhpFlSzOxTUi7S7kEd4sIha_SBa-QvDQWORQ4-qdCIl3Bnab7Ewfj6cJxz2MX0eWLWJjVxNfaT6LX9ArSF-u2AIxJplSpz0W6vRa9rZ,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.651466,0.701685,0.050219,medium,apply_seed_override,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/178_AF1QipOug35qsUr1vxkksitCkFPczGJmnvvdYl1tp5jb.jpg
139,2026-03-02,AF1QipNRYxuxd_NyOFVwePbSqU8Pb1r1T30l5tOLU8Z8,https://lh3.googleusercontent.com/pw/AP1GczNVAmoE7GXTTGy23JEVNKWnT1b3DEmNK97OGOl7KjqdCxw5gOYd4j7Jz9NXmEBJoa_4uW2t4WgAagFVQZwaR2oa-SVXPMJOJaQnwKuUNU31Q1JQDAKG,unknown,tomato,Tomato,,Solanum lycopersicum,0.718421,0.668835,0.049586,low,manual_review,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipPU9RHgErKWJwJJ92pF-E0klp18nr0eMqppu6yS,local/non_tomato_species/images/139_AF1QipNRYxuxd_NyOFVwePbSqU8Pb1r1T30l5tOLU8Z8.jpg
186,2026-03-02,AF1QipMhUtP9eRJkU1Of1coR9_Syf4mw-lKx7B9HvKWv,https://lh3.googleusercontent.com/pw/AP1GczNCBJmSL4YUOp0f01m_wA5HTy2lj_hM3GBUeGhBG3fBuXrWQ-dD0jVShII9B3-smqKbH-IPgo7EyNIsGJPpgrgDgpwDRZh1-KTFqy-U2on2AmjsYErg,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.713355,0.762,0.048644,low,manual_review,AF1QipM1i3MSJ0yhTT2hSftqHOFdl3W_wWqD5xJY0F34,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/186_AF1QipMhUtP9eRJkU1Of1coR9_Syf4mw-lKx7B9HvKWv.jpg
184,2026-03-02,AF1QipMvXMmraMru_j5CnrJd6gqT-AW_aGUK7_yPG4LM,https://lh3.googleusercontent.com/pw/AP1GczM1Yi8vX11V-9tJQeAgZlMOnjDdWSHCqeGEyqrg6Dm3uq5b9yzBh4CT6la262ShQ7s3MWK1DI3iNrNiZjbL1ewEElw1UEoNgsYKknz757VyUNLbq2js,unknown,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,0.440287,0.485754,0.045467,low,manual_review,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,AF1QipOFj7AJ4wBEzoSghT-FmoK39t8yyzYEN5BeNu8N,local/non_tomato_species/images/184_AF1QipMvXMmraMru_j5CnrJd6gqT-AW_aGUK7_yPG4LM.jpg
187,2026-03-02,AF1QipPwKYyU88Dp85N2NDeVtt4AZrHOSEs1N2HATNY3,https://lh3.googleusercontent.com/pw/AP1GczPQK0Lb5YdyieF3iYpMWy41Ho6AZEjUcwSo8zBacYDVuUn5vzBkwj4wHl_srDciVPufwJiAEGe4hf0srD3EPQ5B1KLaIONEs-C_o7_vkam_iCsOGO_6,unknown,tomato,Tomato,,Solanum lycopersicum,0.729268,0.68464,0.044628,low,manual_review,AF1QipOKLGjadxmA3cB21dGUO7lBOdTQURwF1BvGZdiR,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/187_AF1QipPwKYyU88Dp85N2NDeVtt4AZrHOSEs1N2HATNY3.jpg
153,2026-03-02,AF1QipOTuq30BPYRZfJ0opXVHK8nqT1jvaSCBEJ4iRkp,https://lh3.googleusercontent.com/pw/AP1GczNrq8hSgOG5HyQ6A1iTxFaqgdt8iY9m0XZHA6MDlh5J115Ris32UXHzuTKB9aKOoi4YHA4uFmFuZ1XIT1any80w3syfVMS7ujoSaCqOeC5mkw8teVQL,unknown,non_tomato,Spinach,Spinach,Spinacia oleracea,0.624116,0.666358,0.042242,low,manual_review,AF1QipNjCXO2DCyYSPo8z8XBD0Ec50YkcouPnONL4iMi,AF1QipOAixlyabr6w5IntjDZchh5IVfv3jAqII7bUhAI,local/non_tomato_species/images/153_AF1QipOTuq30BPYRZfJ0opXVHK8nqT1jvaSCBEJ4iRkp.jpg
132,2026-03-02,AF1QipMvyYN1mzzMjVquJqrjZWyiYbU3tlnhUA6WEDUK,https://lh3.googleusercontent.com/pw/AP1GczM80SelnfzqRB2K1MG0T9zOgZn7_0VN9TKbp-R6ucR3a55-e0sk44h2UrwQFdWJ69dcyxCaiKBJxv5Uh52pahiuQs_0B6U5OptgdMF3iUUAlWZh7GUn,unknown,non_tomato,Turnip,Turnip,Brassica rapa subsp. rapa,0.566097,0.60745,0.041354,low,manual_review,AF1QipOLVxSyli52QM5HMEqdgY_3saaI5bYdnoJgIolG,AF1QipOFj7AJ4wBEzoSghT-FmoK39t8yyzYEN5BeNu8N,local/non_tomato_species/images/132_AF1QipMvyYN1mzzMjVquJqrjZWyiYbU3tlnhUA6WEDUK.jpg
