run_date,row_index,source_asset_id,capture_date,captured_at,photo_url,classification_label,pot_id,packet_number,variety_name,species_common_name,labeling_method,confidence,lifecycle_stage,potting_date,day_one_photo_date,day_since_potting,experiment_day,mapping_status,mapping_note
2026-02-27,39,AF1QipO9O8ofJOltx3a8m1wZDzXD_RBObZa59LwMiQZc,2026-02-27,2026-02-27T16:10:09.060000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPELAIUEBHHZlOBv89CmH0M7rQpbMxn4_mvK4NERomCB8OnPKHjKE8Rhcbmj47u0Y4sDl8lnHi1B6abEEpB4CQV_oC5w8CW4DFBf8_3lk8sOfpMqnoy,tomato,13T,,San Francisco Fog,San Francisco Fog,ocr_no_text|manual_series_map,0.3,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,40,AF1QipPdVE9IB07u1CtbsQ3DSY74m3ZuwXADzVdyG_LQ,2026-02-27,2026-02-27T16:10:35.022000-08:00,https://lh3.googleusercontent.com/pw/AP1GczM5oed7ect65oYYdWPU2rPHIA1IBOnVt4zFJX4Xl137EmqQ1fGnWDYaU6JKqjFewDYzXuwNRWHPs29A1v5uJkonuHmHSCmWfAfwTOieNl710yjsWKRE,tomato,14T,,Iles Yellow Latvian,Iles Yellow Latvian,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,41,AF1QipPhljrNj7wo-iKKOyxIf1xHvkkj3CkWIKYtnlv3,2026-02-27,2026-02-27T16:11:10.197000-08:00,https://lh3.googleusercontent.com/pw/AP1GczOVJ4mM69ZgsEPDI5j1WCddGNSR0suntrDbgip765jcq9RNnf5vkkK_d5WTV_QjmkWYisUH2CT8ENnXJKeh6d8hJtSwNJ8De37YhGMrUQzCiWwAcyK6,tomato,15T,3,Taxi,Taxi,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number; variety_from_historical_pot_mapping
2026-02-27,42,AF1QipMMO4uoJXozbYyUy6rRxeZYhw961kmp8Povegbo,2026-02-27,2026-02-27T16:11:36.629000-08:00,https://lh3.googleusercontent.com/pw/AP1GczP4av51WsEbp0Um4GA6Q5kaq5RRvVR0B7RTWLIgjNQv8eSHyhL4YJwMTo6oPruznEFUZzWDzFvSowQpIliR_C5DpHa_6Tm0kRVWWj2KEuvXCRc31fIc,tomato,16T,,Nikolayev Yellow Cherry,Nikolayev Yellow Cherry,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,43,AF1QipMGoOuZlrRZznWkkqiaqTGliSLNsZ6uguUFT9Sw,2026-02-27,2026-02-27T16:12:05.982000-08:00,https://lh3.googleusercontent.com/pw/AP1GczMid2vqci6ubHdgRwTzgP25xC7No26ABEuVsbpJWT7wa4f8IAuJl6v1uU_mw-Vx5Yh6nzVoVEU8LanCnuCHHAPKXHeDg0sxMewAzfgUx4B-CKXUZ5dZ,tomato,17T,7,Japanese Black Trifele,Japanese Black Trifele,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,44,AF1QipNHxDXPshBC7-87uRtOOjldwWgD7sHwj3tsBqPl,2026-02-27,2026-02-27T16:13:06.839000-08:00,https://lh3.googleusercontent.com/pw/AP1GczOq1BJ6lQdAbSQpuPbf4ivPcfIf-GTWNd5c9DMV911nRH1JWPrlTuiud9jyWB7ZbI9J6VuxrIgYaFW83PXs45jRU-fDpZi9mhYPYSNhxREab3MwwyZ5,tomato,18T,5,Sunset's Red Horizon,Sunset's Red Horizon,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,45,AF1QipN8xGY0DJ1YO6FxU8cQUCA5Xj8-aAL5J6K0jNs3,2026-02-27,2026-02-27T16:13:45.896000-08:00,https://lh3.googleusercontent.com/pw/AP1GczNBXWQ1-MDLDK8C-Wtlg5gFtLQ-KT5W9nBLdNMNGPMbT1j2ZDavogXzCd8QEvqQFgb1jrfIDM6tmkQlxr4UzBGjcaRkqG1ddHm1hNV1OFTqU6_3gio0,tomato,19T,,Waimea Wild Cherry,Waimea Wild Cherry,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,46,AF1QipMYQNQywKhbOyI2QHkZYogmbkuNr-LIeoWHrJiK,2026-02-27,2026-02-27T16:14:10.043000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPHQmto1Pb5BqOiU00D3JjWvwnjej0gVzNwSgNjMjrR1nu7Tl-Z4at27QQvoMwEvBKqxm6OqoPStrvzVgQ9ZN3CnrEPJwqhhidHFcbc0qQZAmfyjfT6,tomato,20T,2,Sasha Altai,Sasha Altai,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,47,AF1QipMa0qMVkNBfCip-aaXnEkgaIrdRp7x04CMh_HI_,2026-02-27,2026-02-27T16:14:29.099000-08:00,https://lh3.googleusercontent.com/pw/AP1GczOvy8pR0x7d7-3Dx4WREyaZ6mwWOu-NLFgTFSY4T0nahXYQ2BqI4J5f0S4R5nOAobHLWyHMc9JFmHrHW5ooGzv4VtTkwSMyHktgkBps5roQVpucOSjb,tomato,21T,2,Sasha Altai,Sasha Altai,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,variety_from_historical_pot_mapping
2026-02-27,48,AF1QipNQus6o7w1H0bxgqTuVUHDttT63nQ0MI9HJ5nUt,2026-02-27,2026-02-27T16:14:46.566000-08:00,https://lh3.googleusercontent.com/pw/AP1GczPx9lwmq25WBkX1MFWYcna9GewV_AOjVukUHiFklKbtbETJhPWTrh7Thh-ZwvgjpMPiCslJUZNBqOEAKECNa0mCbdAFIwTa3Y5y-RWAuDd533hVoehG,tomato,22T,,Azoychka,Azoychka,ocr_unresolved|manual_series_map,0.4,sapling,2026-02-24,2026-02-25,3,3,ok,ocr_confirms_pot_number; variety_from_historical_pot_mapping
